Brain-Neurocranium,,,,,,,,,,,,
Location,chr,pos (cM),LOD NC_PC1,info,LOD*info,,,,,,,
c1.loc10,1,10,1.075,0.961,1.033,,,,,,,
c2.loc35,2,35,1.178,0.796,0.938,,,,,,,
c3.loc60,3,60,5.485,1.112,6.1,,,,,,,
c4.loc25,4,25,1.507,1.121,1.689,,,,,,,
c5.loc70,5,70,4.822,0.995,4.797,,,,,,,
c6.loc25,6,25,0.718,0.633,0.455,,,,,,,
c7.loc15,7,15,1.124,1.01,1.135,,,,,,,
c8.loc30,8,30,0.673,1.088,0.732,,,,,,,
c9.loc15,9,15,1.342,0.984,1.321,,,,,,,
c10.loc25,10a,25,0.844,1.113,0.939,,,,,,,
scaffold_50_2376745,10b,19.6,0.282,1,0.282,,,,,,,
c12.loc10,11,10,2.098,0.786,1.65,,,,,,,
c13.loc5,12,5,0.833,1.028,0.856,,,,,,,
c14.loc40,13a,40,0.562,1.08,0.607,,,,,,,
scaffold_26_1362137,13b,0,0.547,1.121,0.614,,,,,,,
c16.loc5,14,5,1.528,0.97,1.481,,,,,,,
c17.loc55,15,55,0.927,0.985,0.913,,,,,,,
c18.loc10,16,10,1.661,1.088,1.807,,,,,,,
c19.loc50,17,50,1.787,1.033,1.845,,,,,,,
scaffold_109_46112,18,0,1.819,1.121,2.039,,,,,,,
c21.loc50,19,50,0.773,1.096,0.847,,,,,,,
c22.loc90,20,90,1.009,0.959,0.967,,,,,,,
c23.loc25,21,25,1.472,1.1,1.619,,,,,,,
c24.loc45,22,45,0.796,1.067,0.849,,,,,,,
,,,,,,,,,,,,
LOD Threshold Levels,,,,,,,,,,,,
5%,2.93,,,,,,,,,,,
10%,2.54,,,,,,,,,,,
,,,,,,,,,,,,
Sig. QTL Info.,,,,,,,,,,Allele Effects,,
Marker,chr,pos (cM),LOD NC_PC1,info,LOD*info,PVE LOD,PVE LOD*info,Sig. QTL Interval Start (cM),Sig. QTL Interval End (cM),TRC/TRC,LF/TRC,LF/LF
c3.loc60,3,60,5.485,1.112,6.1,14.6040,16.1023,57.1706,62.73736,-0.020369016,0.004487132,0.001112309
c5.loc70,5,70,4.822,0.995,4.797,12.9588,12.8961,69.19203,75.2353,-0.006120314,0.002858187,-0.003010139
,,,,,,,,,,,,
,,,,,,,,,,,,
Neurocranium-Brain,,,,,,,,,,,,
Location,chr,pos (cM),LOD NC_PC2,info,LOD*info,,,,,,,
c1.loc60,1,60,0.659,1.055,0.696,,,,,,,
scaffold_11_8641264,2,52.7,1.213,1,1.213,,,,,,,
c3.loc60,3,60,2.192,1.066,2.337,,,,,,,
c4.loc15,4,15,1.521,1.042,1.586,,,,,,,
c5.loc30,5,30,1.733,0.995,1.723,,,,,,,
c6.loc50,6,50,1.519,0.944,1.435,,,,,,,
c7.loc20,7,20,8.722,0.983,8.575,,,,,,,
c8.loc45,8,45,1.698,0.947,1.607,,,,,,,
c9.loc30,9,30,0.723,0.941,0.68,,,,,,,
c10.loc30,10a,30,1.145,1.011,1.157,,,,,,,
c11.loc5,10b,5,0.732,0.992,0.726,,,,,,,
c12.loc55,11,55,2.321,0.965,2.24,,,,,,,
scaffold_9_6193445,12,19,2.464,1,2.464,,,,,,,
c14.loc45,13a,45,1.188,1.067,1.268,,,,,,,
scaffold_33_4451453,13b,17.2,0.361,1,0.361,,,,,,,
c16.loc10,14,10,2.416,0.992,2.398,,,,,,,
scaffold_74_2002180,15,63.8,0.848,1,0.848,,,,,,,
c18.loc10,16,10,2.27,1.047,2.377,,,,,,,
c19.loc45,17,45,2.712,0.937,2.54,,,,,,,
c20.loc5,18,5,1.09,0.93,1.013,,,,,,,
c21.loc30,19,30,1.426,0.994,1.417,,,,,,,
c22.loc90,20,90,2.373,0.927,2.2,,,,,,,
c23.loc20,21,20,0.778,0.752,0.585,,,,,,,
c24.loc60,22,60,1.754,1.064,1.867,,,,,,,
,,,,,,,,,,,,
LOD Threshold Levels,,,,,,,,,,,,
5%,2.68,,,,,,,,,,,
10%,2.42,,,,,,,,,,,
,,,,,,,,,,,,
Sig. QTL Info.,,,,,,,,,,Allele Effects,,
Marker,chr,pos (cM),LOD NC_PC2,info,LOD*info,PVE LOD,PVE LOD*info,Sig. QTL Interval Start (cM),Sig. QTL Interval End (cM),TRC/TRC,LF/TRC,LF/LF
